user_id,word,attempts_total,correct_rate,days_since_last_seen,current_streak,is_correct_next
u18,command,12,0.84,4,4,0
u18,memory,9,0.66,1,3,1
u10,vocab,13,0.79,6,1,1
u2,command,2,0.49,0,5,0
u8,device,6,1.0,10,2,1
u11,network,14,0.9,0,2,1
u19,lesson,4,0.49,2,4,0
u11,quiet,10,0.4,6,0,1
u19,memory,10,0.44,1,0,0
u15,sensor,13,0.25,4,2,0
u7,quiet,11,0.93,3,3,1
u12,apple,14,0.78,7,2,0
u14,quiet,3,0.53,6,0,0
u16,sensor,7,0.88,6,0,0
u12,vocab,10,0.57,11,1,0
u2,river,12,0.66,4,0,1
u18,predict,14,0.33,8,3,0
u15,river,5,0.61,0,1,1
u7,teacher,4,0.68,8,1,1
u16,future,9,0.38,2,1,1
u9,sensor,9,0.35,2,0,1
u20,memory,6,0.44,4,0,1
u19,system,13,0.63,8,0,0
u6,lesson,9,0.92,2,0,1
u9,sensor,12,0.82,5,1,0
u6,quiet,11,0.58,0,7,1
u13,however,5,0.49,7,1,1
u1,apple,2,0.73,12,1,1
u19,predict,11,0.86,4,0,1
u19,command,1,0.53,5,2,0
u6,memory,6,0.81,4,7,1
u3,engine,6,0.27,0,2,0
u10,memory,14,0.4,5,2,1
u10,future,1,0.68,0,2,1
u17,network,3,0.87,6,5,1
u15,device,11,0.2,9,3,0
u2,command,5,1.0,5,0,1
u6,build,11,0.43,0,0,0
u14,apple,14,0.5,0,1,1
u13,network,7,0.6,0,5,1
u7,system,5,0.45,6,1,1
u8,practice,4,0.69,7,0,1
u7,system,6,0.96,8,5,1
u9,network,11,0.84,0,1,1
u3,lesson,11,0.74,6,2,1
u18,vocab,6,0.35,4,0,1
u3,meaning,1,0.77,5,1,0
u10,lesson,13,0.59,4,1,1
u15,sensor,8,0.25,1,2,0
u17,command,12,0.84,5,0,1
u6,engine,8,0.66,0,6,1
u2,network,8,0.63,4,0,0
u19,lesson,10,0.36,3,2,1
u6,predict,9,0.74,3,0,0
u11,memory,9,0.29,0,2,0
u3,signal,8,0.67,6,3,1
u2,meaning,3,0.74,0,2,0
u9,build,4,0.74,4,0,1
u1,vocab,1,0.72,0,3,0
u1,network,4,0.79,0,0,1
u2,device,2,0.47,8,4,1
u16,future,4,0.13,7,2,0
u6,future,5,0.58,0,0,1
